
allocate,start_time,2015-11-20 12:14:52.933362
allocate,stop_time,2015-11-20 12:14:57.046165


Cycle; Step; Start; Stop; Duration
cycle_1; pp_step; 2015-11-20 22:09:52.188846; 2015-11-20 22:09:53.214908; 1.026062
cycle_1; pp_step_enmd_overhead; 2015-11-20 22:09:52.188846; 2015-11-20 22:09:53.214908; 1.026062
cycle_1; ex_step; 2015-11-20 22:09:29.952366; 2015-11-20 22:09:52.188766; 22.2364
cycle_1; ex_step_enmd_overhead; 2015-11-20 22:09:29.952366; 2015-11-20 22:09:29.956361; 0.003995
cycle_1; md_step; 2015-11-20 17:15:42.213394; 2015-11-20 22:09:29.939982; 17627.726588
cycle_1; md_step_enmd_overhead; 2015-11-20 17:15:42.213394; 2015-11-20 17:15:51.619099; 9.405705
CU_ID; Scheduling; StagingInput; Allocating; Executing; StagingOutput; Done; Cycle; Step;
unit.001627; 2015-11-20 17:16:09.547000; 2015-11-20 17:16:41.050000; 2015-11-20 17:16:41.281000; 2015-11-20 17:57:44.735000; 2015-11-20 18:00:04.275000; 2015-11-20 18:00:04.287000; cycle_1; md_step
unit.002038; 2015-11-20 17:16:09.896000; 2015-11-20 17:18:08.868000; 2015-11-20 17:18:09.154000; 2015-11-20 21:20:41.787000; 2015-11-20 21:23:01.959000; 2015-11-20 21:23:01.978000; cycle_1; md_step
unit.002039; 2015-11-20 17:16:09.897000; 2015-11-20 17:18:15.240000; 2015-11-20 17:18:15.688000; 2015-11-20 21:30:24.909000; 2015-11-20 21:32:46.370000; 2015-11-20 21:32:46.431000; cycle_1; md_step
unit.002030; 2015-11-20 17:16:09.890000; 2015-11-20 17:17:36.225000; 2015-11-20 17:17:36.614000; 2015-11-20 20:05:29.315000; 2015-11-20 20:07:47.455000; 2015-11-20 20:07:47.563000; cycle_1; md_step
unit.002031; 2015-11-20 17:16:09.891000; 2015-11-20 17:17:41.945000; 2015-11-20 17:17:42.330000; 2015-11-20 20:19:05.121000; 2015-11-20 20:21:25.590000; 2015-11-20 20:21:25.638000; cycle_1; md_step
unit.002032; 2015-11-20 17:16:09.892000; 2015-11-20 17:17:46.622000; 2015-11-20 17:17:47.022000; 2015-11-20 20:30:40.216000; 2015-11-20 20:33:00.130000; 2015-11-20 20:33:00.160000; cycle_1; md_step
unit.002033; 2015-11-20 17:16:09.893000; 2015-11-20 17:17:50.183000; 2015-11-20 17:17:50.665000; 2015-11-20 20:39:31.050000; 2015-11-20 20:41:54.480000; 2015-11-20 20:41:54.557000; cycle_1; md_step
unit.002034; 2015-11-20 17:16:09.893000; 2015-11-20 17:17:54.887000; 2015-11-20 17:17:55.320000; 2015-11-20 20:48:47.431000; 2015-11-20 20:51:04.728000; 2015-11-20 20:51:04.775000; cycle_1; md_step
unit.002035; 2015-11-20 17:16:09.894000; 2015-11-20 17:18:31.332000; 2015-11-20 17:18:31.609000; 2015-11-20 21:59:57.550000; 2015-11-20 22:02:17.743000; 2015-11-20 22:02:17.757000; cycle_1; md_step
unit.002036; 2015-11-20 17:16:09.895000; 2015-11-20 17:18:00.446000; 2015-11-20 17:18:00.833000; 2015-11-20 21:02:38.051000; 2015-11-20 21:04:59.763000; 2015-11-20 21:04:59.810000; cycle_1; md_step
unit.002037; 2015-11-20 17:16:09.896000; 2015-11-20 17:17:58.215000; 2015-11-20 17:17:58.540000; 2015-11-20 20:57:56.860000; 2015-11-20 21:00:15.945000; 2015-11-20 21:00:15.988000; cycle_1; md_step
unit.000199; 2015-11-20 17:16:08.375000; 2015-11-20 17:16:43.010000; 2015-11-20 17:16:43.250000; 2015-11-20 18:02:12.928000; 2015-11-20 18:04:30.377000; 2015-11-20 18:04:30.412000; cycle_1; md_step
unit.000198; 2015-11-20 17:16:08.374000; 2015-11-20 17:17:46.766000; 2015-11-20 17:17:47.037000; 2015-11-20 20:31:04.473000; 2015-11-20 20:33:21.624000; 2015-11-20 20:33:21.643000; cycle_1; md_step
unit.000195; 2015-11-20 17:16:08.372000; 2015-11-20 17:17:46.415000; 2015-11-20 17:17:46.766000; 2015-11-20 20:30:34.566000; 2015-11-20 20:32:51.336000; 2015-11-20 20:32:51.361000; cycle_1; md_step
unit.000194; 2015-11-20 17:16:08.371000; 2015-11-20 17:17:46.313000; 2015-11-20 17:17:46.762000; 2015-11-20 20:30:29.596000; 2015-11-20 20:32:45.555000; 2015-11-20 20:32:45.598000; cycle_1; md_step
unit.000197; 2015-11-20 17:16:08.373000; 2015-11-20 17:17:46.733000; 2015-11-20 17:17:47.025000; 2015-11-20 20:30:43.377000; 2015-11-20 20:33:01.190000; 2015-11-20 20:33:01.218000; cycle_1; md_step
unit.000196; 2015-11-20 17:16:08.373000; 2015-11-20 17:17:46.555000; 2015-11-20 17:17:47.032000; 2015-11-20 20:30:51.864000; 2015-11-20 20:33:10.486000; 2015-11-20 20:33:10.510000; cycle_1; md_step
unit.000191; 2015-11-20 17:16:08.369000; 2015-11-20 17:17:40.721000; 2015-11-20 17:17:41.036000; 2015-11-20 20:16:44.446000; 2015-11-20 20:19:01.077000; 2015-11-20 20:19:01.183000; cycle_1; md_step
unit.000190; 2015-11-20 17:16:08.369000; 2015-11-20 17:17:40.459000; 2015-11-20 17:17:40.813000; 2015-11-20 20:16:29.715000; 2015-11-20 20:18:46.477000; 2015-11-20 20:18:46.505000; cycle_1; md_step
